dataset,topology_type,timestep,metagate_selector,metagate_confidence,metagate_mlu,oracle_selector,oracle_mlu,bn_mlu,topk_mlu,sens_mlu,gnn_mlu,correct,t_bn_ms,t_topk_ms,t_sens_ms,t_gnn_ms,t_features_ms,t_mlp_ms,t_lp_ms,t_decision_ms,t_total_ms
abilene,known,456,sensitivity,0.38826820254325867,0.051707754960030126,gnn,0.0517077548929653,0.051707754934563,0.0517077549243316,0.0517077549600301,0.0517077548929653,0,0.5314159998306422,0.023249999685504008,0.6555840000146418,1.9658330002130242,0.8090000001175213,0.15941699984978186,27.81866599980276,4.144499999711115,33.32754199982446
abilene,known,457,topk,0.4631580710411072,0.05221345925281946,topk,0.0522134592528194,0.0522134592883216,0.0522134592528194,0.0522134592731603,0.0522134592558312,1,0.5120000005263137,0.0195419997908175,0.6486659995061927,2.1292500005074544,1.0526670002946048,0.16495799991389504,25.74379100042279,4.527083000539278,31.592374999490858
abilene,known,458,topk,0.36749449372291565,0.05430965588523565,bottleneck,0.0543096558138327,0.0543096558138327,0.0543096558852356,0.0543096561075065,0.0543096558506947,0,0.5154999998921994,0.018542000361776445,0.6462080000346759,2.011999999922409,0.8974169995781267,0.21466700036398834,26.38495800056262,4.304334000153176,31.882166999821493
abilene,known,459,topk,0.4605902135372162,0.05485124735554781,sensitivity,0.0548512472785957,0.054851247298311,0.0548512473555478,0.0548512472785957,0.054851247298311,0,0.6310839999059681,0.02500000027794158,0.673875000757107,2.0393340000737226,1.1732920002032188,0.23520800004916964,25.281083999288967,4.777793001267128,31.252374999894528
abilene,known,460,topk,0.3470664918422699,0.05514340917566009,gnn,0.055143409065126,0.0551434091913712,0.05514340917566,0.0551434091571966,0.055143409065126,0,0.6493750006484333,0.02166600006603403,0.6405000003724126,2.101625000250351,0.7752499996058759,0.26595899998937966,24.866750000001048,4.454375000932487,30.618833000517043
abilene,known,461,sensitivity,0.34887635707855225,0.05811999926794973,bottleneck,0.0581199992557323,0.0581199992557323,0.0581199993194879,0.0581199992679497,0.0581199993172582,0,0.49954099995375145,0.019500000234984327,0.659291000374651,1.9327919999341248,0.7859999996071565,0.1424590000169701,24.33683400067821,4.039583000121638,29.499291000320227
abilene,known,462,topk,0.4194261133670807,0.056574069921985194,topk,0.0565740699219851,0.0565740699963257,0.0565740699219851,0.0565740699773994,0.0565740699253793,1,0.5271669997455319,0.021707999621867202,0.6569170000148006,1.9782079998549307,0.7864999997764244,0.14045800071471604,24.772167000264744,4.110957999728271,30.01437500006432
abilene,known,463,sensitivity,0.4104521572589874,0.060219050271797366,bottleneck,0.0602190502717457,0.0602190502717457,0.0602190505074352,0.0602190502717973,0.0602190502944868,0,0.510415999997349,0.021249999917927198,0.683250000292901,2.043792000222311,0.7716669997535064,0.14754099993297132,24.093999999422522,4.177916000116966,29.410916999950132
abilene,known,464,sensitivity,0.37560221552848816,0.059321454181672235,sensitivity,0.0593214541816722,0.0593214542123208,0.0593214542448595,0.0593214541816722,0.0593214544085692,1,0.5208330003370065,0.021207999452599324,0.6647919999522856,1.9722910001291893,0.8615420001660823,0.18149999959859997,23.915042000226094,4.222165999635763,29.358040999795776
abilene,known,465,sensitivity,0.335778146982193,0.05995605952037225,topk,0.0599560592337023,0.0599560593016703,0.0599560592337023,0.0599560595203722,0.0599560592991894,0,0.5158330004633171,0.020167000002402347,0.6529580005008029,2.1674999998140265,0.8372080001208815,0.15637500018783612,23.622458999852824,4.3500410010892665,29.14233299998159
