topology,scenario,k,delay,verdict,delta_mean_pct,delta_p95_pct,delta_peak_pct,delta_overload_07,delta_overload_09,delta_disturb_pct,wins_metrics,losses_metrics,oracle_delta_mean_pct
ebone,flash_crowd,10,1,WIN,-0.226,+0.299,+0.000,-1,-1,-5.531,overload07+overload09,,-0.045
ebone,flash_crowd,10,2,WIN,-0.130,+0.000,+0.000,-1,0,-6.180,overload07,,+0.053
ebone,flash_crowd,20,0,WIN,+0.240,+0.706,+0.198,0,-1,-43.944,overload09,,+0.271
ebone,flash_crowd,20,1,WIN,-0.592,+0.612,+0.988,-1,-1,-38.896,overload07+overload09,,-0.660
ebone,flash_crowd,20,2,WIN,-0.695,+0.223,+0.657,-1,-1,-42.389,overload07+overload09,,-0.791
ebone,flash_crowd,40,0,TIE,-0.000,+0.000,+0.000,0,0,-37.617,,,-0.000
ebone,flash_crowd,40,1,LOSS,-1.001,-0.937,-0.794,0,1,-38.020,,overload09,-1.001
ebone,flash_crowd,40,2,TIE,-1.079,-1.461,-1.137,0,0,-36.526,,,-1.079
ebone,normal,5,0,TIE,+0.665,+0.804,+1.529,0,0,+5.373,,,+0.770
ebone,normal,5,1,TIE,+0.465,+0.804,+3.664,-2,-1,+8.881,overload07+overload09,peak,+0.453
ebone,normal,5,2,TIE,+0.418,+0.299,+3.934,-3,-3,+9.441,overload07+overload09,peak,+0.128
ebone,normal,10,0,TIE,+0.595,+0.498,+0.000,0,0,-8.260,,,+0.710
ebone,normal,10,1,WIN,-0.237,+0.299,+0.000,-1,-1,-9.439,overload07+overload09,,-0.057
ebone,normal,10,2,WIN,-0.110,+0.000,+0.000,-1,0,-9.906,overload07,,+0.072
ebone,normal,20,0,WIN,+0.240,+0.706,+0.198,0,-1,-43.859,overload09,,+0.271
ebone,normal,20,1,WIN,-0.601,+0.612,+0.988,-1,-1,-38.865,overload07+overload09,,-0.669
ebone,normal,20,2,WIN,-0.691,+0.223,+0.657,-1,-1,-42.631,overload07+overload09,,-0.787
ebone,normal,40,0,TIE,-0.000,+0.000,+0.000,0,0,-37.997,,,-0.000
ebone,normal,40,1,LOSS,-1.005,-0.937,-0.794,0,1,-38.497,,overload09,-1.005
ebone,normal,40,2,TIE,-1.081,-1.461,-1.137,0,0,-37.227,,,-1.081
ebone,ramp_up,5,0,TIE,+0.103,+0.488,+0.423,0,0,-37.481,,,+0.213
ebone,ramp_up,5,1,TIE,-0.573,-0.479,+0.680,0,0,-41.107,,,-0.471
ebone,ramp_up,5,2,WIN,-0.705,-0.709,+1.636,0,-4,-38.229,overload09,,-0.633
ebone,ramp_up,10,0,TIE,-0.507,-0.000,+0.000,0,0,+129.246,,,-0.476
ebone,ramp_up,10,1,TIE,-0.950,-0.260,-0.108,0,0,+134.930,,,-1.061
ebone,ramp_up,10,2,TIE,-0.928,-0.479,-0.807,0,0,+127.348,,,-0.894
ebone,ramp_up,20,0,TIE,+0.076,+0.231,+0.000,0,0,-36.619,,,+0.105
ebone,ramp_up,20,1,WIN,-1.024,-0.158,-0.502,0,-1,-38.181,overload09,,-1.019
ebone,ramp_up,20,2,WIN,-1.258,-0.076,-0.807,0,-1,-41.680,overload09,,-1.275
ebone,ramp_up,40,0,TIE,-0.000,+0.000,-0.000,0,0,-30.861,,,-0.000
ebone,ramp_up,40,1,LOSS,-1.147,-1.142,-1.588,0,2,-26.624,,overload09,-1.147
ebone,ramp_up,40,2,WIN,-1.525,-1.856,-4.168,0,5,-28.072,peak,overload09,-1.525
ebone,spike_2x,5,0,TIE,+0.452,+0.130,+0.000,0,0,-10.312,,,+0.557
ebone,spike_2x,5,1,WIN,+0.040,-0.659,+3.354,-11,-5,-6.902,overload07+overload09,peak,+0.158
ebone,spike_2x,5,2,WIN,-0.018,-0.791,+4.123,-16,-5,-9.924,overload07+overload09,peak,-0.170
ebone,spike_2x,10,0,LOSS,+0.496,-0.000,+0.000,3,1,-7.543,,overload07+overload09,+0.609
ebone,spike_2x,10,1,WIN,-0.410,-0.608,-3.232,9,1,-10.333,peak,overload07+overload09,-0.230
ebone,spike_2x,10,2,WIN,-0.348,-0.856,-3.232,10,2,-6.334,peak,overload07+overload09,-0.168
ebone,spike_2x,20,0,TIE,+0.157,+0.000,+0.000,0,0,-45.834,,,+0.189
ebone,spike_2x,20,1,WIN,-0.720,-0.592,-3.423,8,1,-39.159,peak,overload07+overload09,-0.792
ebone,spike_2x,20,2,WIN,-0.902,-0.817,-3.232,7,2,-40.146,peak,overload07+overload09,-1.008
ebone,spike_2x,40,0,TIE,-0.000,-0.000,-0.000,0,0,-33.931,,,-0.000
ebone,spike_2x,40,1,WIN,-1.113,-1.226,-4.985,11,4,-34.084,peak,overload07+overload09,-1.113
ebone,spike_2x,40,2,WIN,-1.178,-1.563,-5.997,16,5,-33.170,peak,overload07+overload09,-1.178
geant,flash_crowd,5,0,WIN,-1.024,-2.905,-4.166,0,0,-42.870,p95+peak,,-1.024
geant,flash_crowd,5,1,WIN,-3.225,-4.513,-7.801,0,0,-37.842,mean+p95+peak,,-3.225
geant,flash_crowd,5,2,WIN,-3.993,-5.372,-9.348,0,0,-31.008,mean+p95+peak,,-3.993
geant,flash_crowd,10,0,TIE,-0.648,-0.217,-0.289,0,0,-41.924,,,-0.648
geant,flash_crowd,10,1,WIN,-3.142,-3.405,-5.251,0,0,-44.975,mean+p95+peak,,-3.154
geant,flash_crowd,10,2,WIN,-3.666,-4.221,-7.833,0,0,-49.306,mean+p95+peak,,-3.673
geant,flash_crowd,20,0,TIE,-1.688,-1.267,-1.012,0,0,-48.686,,,-1.688
geant,flash_crowd,20,1,WIN,-4.358,-4.534,-7.380,0,0,-50.799,mean+p95+peak,,-4.361
geant,flash_crowd,20,2,WIN,-5.012,-5.073,-7.658,0,0,-53.670,mean+p95+peak,,-5.021
geant,flash_crowd,40,0,TIE,-0.578,+0.925,+0.527,0,0,-39.941,,,-0.578
geant,flash_crowd,40,1,WIN,-2.695,-2.444,-2.512,0,0,-52.827,mean+p95+peak,,-2.705
geant,flash_crowd,40,2,WIN,-3.510,-4.520,-5.166,0,0,-46.232,mean+p95+peak,,-3.512
geant,normal,5,0,WIN,-1.024,-2.905,-4.166,0,0,-27.114,p95+peak,,-1.024
geant,normal,5,1,WIN,-3.210,-4.513,-7.801,0,0,-31.432,mean+p95+peak,,-3.210
geant,normal,5,2,WIN,-3.984,-5.372,-9.348,0,0,-23.356,mean+p95+peak,,-3.984
geant,normal,10,0,TIE,-0.648,-0.217,-0.289,0,0,-37.465,,,-0.648
geant,normal,10,1,WIN,-3.158,-3.405,-5.251,0,0,-40.756,mean+p95+peak,,-3.170
geant,normal,10,2,WIN,-3.689,-4.221,-7.833,0,0,-44.847,mean+p95+peak,,-3.696
geant,normal,20,0,TIE,-1.688,-1.267,-1.012,0,0,-54.057,,,-1.688
geant,normal,20,1,WIN,-4.332,-4.534,-7.380,0,0,-57.428,mean+p95+peak,,-4.335
geant,normal,20,2,WIN,-5.016,-5.073,-7.658,0,0,-57.843,mean+p95+peak,,-5.024
geant,normal,40,0,TIE,-0.578,+0.925,+0.527,0,0,-44.338,,,-0.578
geant,normal,40,1,WIN,-2.695,-2.444,-2.512,0,0,-50.282,mean+p95+peak,,-2.705
geant,normal,40,2,WIN,-3.510,-4.520,-5.166,0,0,-49.114,mean+p95+peak,,-3.512
geant,ramp_up,5,0,TIE,-0.000,-0.000,-0.000,0,0,-35.408,,,-0.000
geant,ramp_up,5,1,WIN,-2.138,-1.770,-2.097,0,0,-42.276,mean+peak,,-2.138
geant,ramp_up,5,2,WIN,-2.628,-0.984,-3.261,0,0,-46.237,mean+peak,,-2.628
geant,ramp_up,10,0,TIE,-0.475,-0.470,-0.358,0,0,-12.426,,,-0.451
geant,ramp_up,10,1,WIN,-2.195,-3.178,-2.892,0,0,-12.511,mean+p95+peak,,-2.168
geant,ramp_up,10,2,WIN,-2.716,-2.620,-4.618,0,0,-17.914,mean+p95+peak,,-2.680
geant,ramp_up,20,0,TIE,-1.169,-1.477,-1.593,0,0,-57.074,,,-1.169
geant,ramp_up,20,1,WIN,-2.953,-2.407,-3.835,0,0,-56.708,mean+p95+peak,,-2.954
geant,ramp_up,20,2,WIN,-3.554,-2.476,-4.760,0,0,-64.151,mean+p95+peak,,-3.556
geant,ramp_up,40,0,TIE,-0.438,-0.208,-0.285,0,0,-49.544,,,-0.427
geant,ramp_up,40,1,WIN,-2.139,-2.214,-2.332,0,0,-46.457,mean+p95+peak,,-2.137
geant,ramp_up,40,2,WIN,-2.704,-2.606,-4.340,0,0,-44.407,mean+p95+peak,,-2.696
geant,spike_2x,5,0,TIE,-0.927,-0.000,-0.000,0,0,+0.677,,,-0.927
geant,spike_2x,5,1,WIN,-3.369,-1.031,-2.708,0,0,-16.067,mean+peak,,-3.369
geant,spike_2x,5,2,WIN,-4.428,-2.359,-3.105,0,0,-8.941,mean+p95+peak,,-4.428
geant,spike_2x,10,0,TIE,-0.586,-0.000,-0.000,0,0,-34.689,,,-0.586
geant,spike_2x,10,1,WIN,-3.364,-1.547,-3.856,0,0,-36.139,mean+peak,,-3.375
geant,spike_2x,10,2,WIN,-4.051,-3.179,-3.659,0,0,-32.204,mean+p95+peak,,-4.057
geant,spike_2x,20,0,TIE,-1.526,-0.680,-0.459,0,0,-52.957,,,-1.526
geant,spike_2x,20,1,WIN,-4.238,-2.825,-5.836,0,0,-55.753,mean+p95+peak,,-4.240
geant,spike_2x,20,2,WIN,-4.945,-4.622,-6.399,0,0,-59.229,mean+p95+peak,,-4.953
geant,spike_2x,40,0,TIE,-0.521,-0.568,-0.654,0,0,-40.473,,,-0.521
geant,spike_2x,40,1,WIN,-2.744,-1.862,-4.434,0,0,-47.833,mean+peak,,-2.753
geant,spike_2x,40,2,WIN,-3.711,-3.084,-8.560,0,0,-48.059,mean+p95+peak,,-3.712
germany50,flash_crowd,5,0,WIN,-3.513,+4.197,+4.626,-1,0,-4.924,mean+overload07,p95+peak,-3.513
germany50,flash_crowd,5,1,TIE,-6.396,-3.523,-1.622,0,0,+5.396,mean+p95,,-6.331
germany50,flash_crowd,5,2,WIN,-6.438,-3.565,-1.622,0,0,-4.637,mean+p95,,-6.229
germany50,flash_crowd,10,0,LOSS,+0.444,+5.344,+4.626,0,0,-28.857,,p95+peak,+0.462
germany50,flash_crowd,10,1,WIN,-3.243,+0.600,+4.626,0,0,-13.542,mean,peak,-3.251
germany50,flash_crowd,10,2,WIN,-3.960,+1.315,+4.626,0,0,-3.753,mean,peak,-3.976
germany50,flash_crowd,20,0,LOSS,-0.199,+6.877,+4.217,0,0,-41.341,,p95+peak,-0.199
germany50,flash_crowd,20,1,WIN,-5.284,-1.153,+4.626,0,0,-36.404,mean,peak,-5.281
germany50,flash_crowd,20,2,WIN,-7.015,+1.258,+4.626,-1,0,-34.564,mean+overload07,peak,-7.056
germany50,flash_crowd,40,0,LOSS,+0.589,+6.048,+3.760,0,0,-21.516,,p95+peak,+0.604
germany50,flash_crowd,40,1,WIN,-4.351,-3.415,+3.988,0,0,-18.222,mean+p95,peak,-4.114
germany50,flash_crowd,40,2,WIN,-6.492,-1.322,+4.284,-1,0,-23.098,mean+overload07,peak,-6.276
germany50,normal,5,0,WIN,-3.513,+4.197,+4.626,-1,0,-4.924,mean+overload07,p95+peak,-3.513
germany50,normal,5,1,TIE,-6.396,-3.523,-1.622,0,0,+5.396,mean+p95,,-6.331
germany50,normal,5,2,WIN,-6.438,-3.565,-1.622,0,0,-4.637,mean+p95,,-6.229
germany50,normal,10,0,LOSS,+0.444,+5.344,+4.626,0,0,-28.857,,p95+peak,+0.462
germany50,normal,10,1,WIN,-3.243,+0.600,+4.626,0,0,-13.542,mean,peak,-3.251
germany50,normal,10,2,WIN,-3.960,+1.315,+4.626,0,0,-3.753,mean,peak,-3.976
germany50,normal,20,0,LOSS,-0.199,+6.877,+4.217,0,0,-41.341,,p95+peak,-0.199
germany50,normal,20,1,WIN,-5.284,-1.153,+4.626,0,0,-36.404,mean,peak,-5.281
germany50,normal,20,2,WIN,-7.015,+1.258,+4.626,-1,0,-34.564,mean+overload07,peak,-7.056
germany50,normal,40,0,LOSS,+0.589,+6.048,+3.760,0,0,-21.516,,p95+peak,+0.604
germany50,normal,40,1,WIN,-4.351,-3.415,+3.988,0,0,-18.222,mean+p95,peak,-4.114
germany50,normal,40,2,WIN,-6.492,-1.322,+4.284,-1,0,-23.098,mean+overload07,peak,-6.276
germany50,ramp_up,5,0,WIN,-4.654,-0.474,+4.626,-4,0,-9.755,mean+overload07,peak,-4.654
germany50,ramp_up,5,1,WIN,-8.452,-3.594,-7.166,0,0,+1.506,mean+p95+peak,,-8.418
germany50,ramp_up,5,2,WIN,-8.498,-10.897,-7.166,0,0,-4.252,mean+p95+peak,,-8.472
germany50,ramp_up,10,0,LOSS,-1.252,+5.344,+4.626,0,0,+1.510,,p95+peak,-1.170
germany50,ramp_up,10,1,TIE,-5.041,-0.141,+4.626,-3,0,+11.370,mean+overload07,peak,-5.035
germany50,ramp_up,10,2,TIE,-5.572,-1.560,+0.668,-1,0,+19.177,mean+overload07,,-5.568
germany50,ramp_up,20,0,LOSS,-1.385,+6.866,+4.217,0,0,-56.697,,p95+peak,-1.380
germany50,ramp_up,20,1,WIN,-6.071,-1.732,+4.568,-4,0,-51.078,mean+overload07,peak,-6.100
germany50,ramp_up,20,2,WIN,-6.368,-3.064,-2.419,-1,0,-51.042,mean+p95+peak+overload07,,-6.449
germany50,ramp_up,40,0,LOSS,-0.421,+6.048,+3.760,0,0,-22.640,,p95+peak,-0.402
germany50,ramp_up,40,1,WIN,-5.740,-8.060,+3.988,-4,0,-24.553,mean+p95+overload07,peak,-5.675
germany50,ramp_up,40,2,WIN,-6.699,-10.013,-2.098,-3,0,-26.894,mean+p95+peak+overload07,,-6.585
germany50,spike_2x,5,0,WIN,-3.067,+4.197,+4.626,-1,0,-16.882,mean+overload07,p95+peak,-3.067
germany50,spike_2x,5,1,WIN,-6.216,-3.523,-1.622,0,0,-2.011,mean+p95,,-6.120
germany50,spike_2x,5,2,WIN,-6.758,-3.565,-1.622,0,0,-11.852,mean+p95,,-6.522
germany50,spike_2x,10,0,LOSS,+0.189,+5.344,+4.626,0,0,-32.244,,p95+peak,+0.233
germany50,spike_2x,10,1,WIN,-3.401,+0.600,+4.626,0,0,-24.783,mean,peak,-3.385
germany50,spike_2x,10,2,WIN,-4.213,+1.315,+4.626,0,0,-8.018,mean,peak,-4.204
germany50,spike_2x,20,0,LOSS,-0.189,+6.877,+4.217,0,0,-49.418,,p95+peak,-0.189
germany50,spike_2x,20,1,WIN,-5.363,-1.153,+4.626,0,0,-44.938,mean,peak,-5.361
germany50,spike_2x,20,2,WIN,-6.939,+1.258,+4.626,-1,0,-44.352,mean+overload07,peak,-6.978
germany50,spike_2x,40,0,LOSS,+0.555,+6.048,+3.760,0,0,-21.523,,p95+peak,+0.572
germany50,spike_2x,40,1,WIN,-4.430,-3.415,+3.988,0,0,-19.926,mean+p95,peak,-4.203
germany50,spike_2x,40,2,WIN,-6.591,-1.322,+4.284,-1,0,-20.379,mean+overload07,peak,-6.384
sprintlink,flash_crowd,5,0,WIN,-7.098,-6.357,-10.126,6,5,-90.592,mean+p95+peak,overload07+overload09,-7.085
sprintlink,flash_crowd,5,1,WIN,-7.193,-6.859,-8.139,-3,1,-90.592,mean+p95+peak+overload07,overload09,-7.197
